Sample in Buffer,Sample in Window,TRIGGER,check_40G_sim_i/system_ila_1/inst/probe0_1[3:0],check_40G_sim_i/system_ila_1/inst/probe1_1[1:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tuser[69:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tuser[69:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tuser[69:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tlast,Interface_(i2:s0)_(axis_data_fifo_5_M_AXIS)[2:0],Interface_(i2:s1)_(axis_data_fifo_4_M_AXIS)[2:0],Interface_(i2:s2)_(l_ethernet_0_axis_rx_0)[2:0],T_Channel_(i2:s0)_(axis_data_fifo_5_M_AXIS)[2:0],T_Channel_(i2:s1)_(axis_data_fifo_4_M_AXIS)[2:0],T_Channel_(i2:s2)_(l_ethernet_0_axis_rx_0)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
1,1,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
2,2,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
3,3,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
4,4,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
5,5,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
6,6,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
7,7,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
8,8,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
9,9,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
10,10,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
11,11,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
12,12,0,0,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
13,13,0,1,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
14,14,0,1,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
15,15,0,1,1,00000000000000000000000000000000,000000000000000000,0,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,000000000000000000,0,0,"_","_","_","_","_","_"
