Sample in Buffer,Sample in Window,TRIGGER,check_40G_sim_i/system_ila_2/inst/probe0_1[3:0],check_40G_sim_i/system_ila_2/inst/probe1_1[1:0],check_40G_sim_i/system_ila_2/inst/net_slot_0_axis_tdata[127:0],check_40G_sim_i/system_ila_2/inst/net_slot_0_axis_tuser[69:0],check_40G_sim_i/system_ila_2/inst/net_slot_0_axis_tvalid,check_40G_sim_i/system_ila_2/inst/net_slot_0_axis_tready,check_40G_sim_i/system_ila_2/inst/net_slot_0_axis_tlast,check_40G_sim_i/system_ila_2/inst/net_slot_1_axis_tdata[127:0],check_40G_sim_i/system_ila_2/inst/net_slot_1_axis_tuser[69:0],check_40G_sim_i/system_ila_2/inst/net_slot_1_axis_tvalid,check_40G_sim_i/system_ila_2/inst/net_slot_1_axis_tready,check_40G_sim_i/system_ila_2/inst/net_slot_1_axis_tlast,check_40G_sim_i/system_ila_2/inst/net_slot_2_axis_tdata[127:0],check_40G_sim_i/system_ila_2/inst/net_slot_2_axis_tkeep[15:0],check_40G_sim_i/system_ila_2/inst/net_slot_2_axis_tvalid,check_40G_sim_i/system_ila_2/inst/net_slot_2_axis_tready,check_40G_sim_i/system_ila_2/inst/net_slot_2_axis_tlast,check_40G_sim_i/system_ila_2/inst/net_slot_3_axis_tdata[127:0],check_40G_sim_i/system_ila_2/inst/net_slot_3_axis_tvalid,check_40G_sim_i/system_ila_2/inst/net_slot_3_axis_tready,check_40G_sim_i/system_ila_2/inst/net_slot_3_axis_tlast,check_40G_sim_i/system_ila_2/inst/net_slot_4_axis_tdata[63:0],check_40G_sim_i/system_ila_2/inst/net_slot_4_axis_tvalid,check_40G_sim_i/system_ila_2/inst/net_slot_4_axis_tready,check_40G_sim_i/system_ila_2/inst/net_slot_4_axis_tlast,Interface_(i3:s0)_(ecpri_demux_0_control_data_out)[2:0],Interface_(i3:s1)_(ecpri_demux_0_user_data_out)[2:0],Interface_(i3:s2)_(uplane_depacketiser_0_data_out)[2:0],Interface_(i3:s3)_(cplane_depacketizer_0_beam_data)[2:0],Interface_(i3:s4)_(cplane_depacketizer_0_beam_info_V)[2:0],T_Channel_(i3:s0)_(ecpri_demux_0_control_data_out)[2:0],T_Channel_(i3:s1)_(ecpri_demux_0_user_data_out)[2:0],T_Channel_(i3:s2)_(uplane_depacketiser_0_data_out)[2:0],T_Channel_(i3:s3)_(cplane_depacketizer_0_beam_data)[2:0],T_Channel_(i3:s4)_(cplane_depacketizer_0_beam_info_V)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,2,71b9df07bbb65a26ac60179a3be46bb7,0081555555555555d5,1,1,0,71b9df07bbb65a26ac60179a3be46bb7,0081555555555555d5,0,1,0,00000000000000000000000000000000,0000,0,1,0,e8180acf8710a1b4e49ff218961b0b83,1,1,0,0fff0072180800e0,0,1,0,"_","_","_","_","_","_","_","_","_","_"
1,1,0,0,2,67c80a0fdc38e2faad6ef3c5cf64a17d,0081555555555555d5,1,1,0,67c80a0fdc38e2faad6ef3c5cf64a17d,0081555555555555d5,0,1,0,00000000000000000000000000000000,0000,0,1,0,c7b76be43b9a1760ac265ab6bb07dfb9,1,1,0,0fff005ab60800e0,0,1,0,"Active","_","_","Active","_","Stream Beat","_","_","Stream Beat","_"
2,2,0,0,2,21eee8e324aedc802c7cc5b4c2948bbb,0081555555555555d5,1,1,0,21eee8e324aedc802c7cc5b4c2948bbb,0081555555555555d5,0,1,0,00000000000000000000000000000000,0000,0,1,0,717da164cfc5f36eadfae238dc0f0ac8,1,1,0,0fff0062380800e0,0,1,0,"Active","_","_","Active","_","Stream Beat","_","_","Stream Beat","_"
3,3,0,0,2,7e9ccf87ad722a56dc80f7b135ca67b0,0081555555555555d5,1,1,0,7e9ccf87ad722a56dc80f7b135ca67b0,0081555555555555d5,0,1,0,00000000000000000000000000000000,0000,0,1,0,67bb8b94c2b4c57c2c80dcae24e3e8ee,1,1,0,0fff005cae0800e0,0,1,0,"Active","_","_","Active","_","Stream Beat","_","_","Stream Beat","_"
4,4,0,0,2,1e6286bbdd244aa5ebe43c8caddc2bef,0081555555555555d5,1,1,0,1e6286bbdd244aa5ebe43c8caddc2bef,0081555555555555d5,0,1,0,00000000000000000000000000000000,0000,0,1,0,21b067ca35b1f780dc562a72ad87cf9c,1,1,0,0fff002a720800e0,0,1,0,"Active","_","_","Active","_","Stream Beat","_","_","Stream Beat","_"
5,5,0,0,2,eb46a553116696f4e2bc31f277e7dfb1,0081555555555555d5,1,1,0,eb46a553116696f4e2bc31f277e7dfb1,0081555555555555d5,0,1,0,00000000000000000000000000000000,0000,0,1,0,7eef2bdcad8c3ce4eba54a24ddbb8662,1,1,0,0fff004a240800e0,0,1,0,"Active","_","_","Active","_","Stream Beat","_","_","Stream Beat","_"
6,6,0,0,2,593256bd0739e8a17e6b64474e444f9a,0081555555555555d5,1,1,0,593256bd0739e8a17e6b64474e444f9a,0081555555555555d5,0,1,0,00000000000000000000000000000000,0000,0,1,0,1eb1dfe777f231bce2f496661153a546,1,1,0,0fff0016660800e0,0,1,0,"Active","_","_","Active","_","Stream Beat","_","_","Stream Beat","_"
7,7,0,0,2,5ce2064d5de66e4c4b70704d097375be,0081555555555555d5,1,1,0,5ce2064d5de66e4c4b70704d097375be,0081555555555555d5,0,1,0,00000000000000000000000000000000,0000,0,1,0,eb9a4f444e47646b7ea1e83907bd5632,1,1,0,0fff0068390800e0,0,1,0,"Active","_","_","Active","_","Stream Beat","_","_","Stream Beat","_"
8,8,0,0,2,d2175f22f6bd9884da4185a499ed5e87,0081555555555555d5,1,1,0,d2175f22f6bd9884da4185a499ed5e87,0081555555555555d5,0,1,0,00000000000000000000000000000000,0000,0,1,0,59be7573094d70704b4c6ee65d4d06e2,1,1,0,0fff006ee60800e0,0,1,0,"Active","_","_","Active","_","Stream Beat","_","_","Stream Beat","_"
