Sample in Buffer,Sample in Window,TRIGGER,check_40G_sim_i/system_ila_1/inst/probe0_1[3:0],check_40G_sim_i/system_ila_1/inst/probe1_1[7:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tdata[63:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tkeep[7:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tuser[7:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tuser,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_3_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_4_axis_tdata[47:0],check_40G_sim_i/system_ila_1/inst/net_slot_4_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_4_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_4_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_5_axis_tdata[31:0],check_40G_sim_i/system_ila_1/inst/net_slot_5_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_5_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_5_axis_tlast,Interface_(i2:s0)_(uplane_packetiser_0_eth_data1)[2:0],Interface_(i2:s1)_(axis_data_fifo_5_M_AXIS)[2:0],Interface_(i2:s2)_(ethernet_mux_0_eth_data_out)[2:0],Interface_(i2:s3)_(tkeep_cleaner_FAPI_0_master)[2:0],Interface_(i2:s4)_(Data_Gen_1_application_header)[2:0],Interface_(i2:s5)_(Data_Gen_1_section_header)[2:0],T_Channel_(i2:s0)_(uplane_packetiser_0_eth_data1)[2:0],T_Channel_(i2:s1)_(axis_data_fifo_5_M_AXIS)[2:0],T_Channel_(i2:s2)_(ethernet_mux_0_eth_data_out)[2:0],T_Channel_(i2:s3)_(tkeep_cleaner_FAPI_0_master)[2:0],T_Channel_(i2:s4)_(Data_Gen_1_application_header)[2:0],T_Channel_(i2:s5)_(Data_Gen_1_section_header)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,15,00,15000000000000000000000000000000,0000,0,0,0,1100ffffffffffff,ff,00,0,1,0,00000000000000000000000000000000,0000,0,0,1,0,00000000000000000000000000000000,0000,0,1,0,0000ca9cd900,0,0,0,3ca70a90,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
1,1,0,15,00,15000000000000000000000000000000,0000,0,0,0,1100ffffffffffff,ff,00,0,1,0,00000000000000000000000000000000,0000,0,0,1,0,00000000000000000000000000000000,0000,0,1,0,0000ca9cd900,0,0,0,3ca70a90,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
2,2,0,15,00,15000000000000000000000000000000,0000,0,0,0,1100ffffffffffff,ff,00,0,1,0,00000000000000000000000000000000,0000,0,0,1,0,00000000000000000000000000000000,0000,0,1,0,0000ca9cd900,0,0,0,3ca70a90,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
3,3,0,15,00,15000000000000000000000000000000,0000,0,0,0,1100ffffffffffff,ff,00,0,1,0,00000000000000000000000000000000,0000,0,0,1,0,00000000000000000000000000000000,0000,0,1,0,0000ca9cd900,0,0,0,3ca70a90,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
4,4,0,15,00,15000000000000000000000000000000,0000,0,0,0,1100ffffffffffff,ff,00,0,1,0,00000000000000000000000000000000,0000,0,0,1,0,00000000000000000000000000000000,0000,0,1,0,0000ca9cd900,0,0,0,3ca70a90,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
5,5,0,15,00,15000000000000000000000000000000,0000,0,0,0,1100ffffffffffff,ff,00,0,1,0,00000000000000000000000000000000,0000,0,0,1,0,00000000000000000000000000000000,0000,0,1,0,0000ca9cd900,0,0,0,3ca70a90,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
6,6,0,15,00,15000000000000000000000000000000,0000,0,0,0,1100ffffffffffff,ff,00,0,1,0,00000000000000000000000000000000,0000,0,0,1,0,00000000000000000000000000000000,0000,0,1,0,0000ca9cd900,0,0,0,3ca70a90,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
7,7,0,15,00,15000000000000000000000000000000,0000,0,0,0,1100ffffffffffff,ff,00,0,1,0,00000000000000000000000000000000,0000,0,0,1,0,00000000000000000000000000000000,0000,0,1,0,0000ca9cd900,0,0,0,3ca70a90,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
8,8,0,15,00,15000000000000000000000000000000,0000,0,0,0,1100ffffffffffff,ff,00,0,1,0,00000000000000000000000000000000,0000,0,0,1,0,00000000000000000000000000000000,0000,0,1,0,0000ca9cd900,0,0,0,3ca70a90,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
