Sample in Buffer,Sample in Window,TRIGGER,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tuser[69:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tlast,Interface_(i2:s0)_(axis_data_fifo_8_M_AXIS)[2:0],Interface_(i2:s1)_(ecpri_demux_0_ctrl_data_out)[2:0],Interface_(i2:s2)_(ecpri_demux_0_user_data_out)[2:0],T_Channel_(i2:s0)_(axis_data_fifo_8_M_AXIS)[2:0],T_Channel_(i2:s1)_(ecpri_demux_0_ctrl_data_out)[2:0],T_Channel_(i2:s2)_(ecpri_demux_0_user_data_out)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
1,1,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
2,2,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
3,3,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
4,4,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
5,5,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
6,6,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
7,7,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
8,8,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
