Sample in Buffer,Sample in Window,TRIGGER,CU_Integration_sim_i/system_ila_0/inst/probe0_1[1:0],CU_Integration_sim_i/system_ila_0/inst/probe1_1[7:0],CU_Integration_sim_i/system_ila_0/inst/probe2_1[63:0],CU_Integration_sim_i/system_ila_0/inst/probe3_1[63:0],CU_Integration_sim_i/system_ila_0/inst/probe4_1[63:0],CU_Integration_sim_i/system_ila_0/inst/probe5_1[63:0],CU_Integration_sim_i/system_ila_0/inst/probe6_1[63:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_0_axis_tdata[127:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_0_axis_tvalid,CU_Integration_sim_i/system_ila_0/inst/net_slot_0_axis_tready,CU_Integration_sim_i/system_ila_0/inst/net_slot_0_axis_tlast,CU_Integration_sim_i/system_ila_0/inst/net_slot_1_axis_tdata[127:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_1_axis_tvalid,CU_Integration_sim_i/system_ila_0/inst/net_slot_1_axis_tready,CU_Integration_sim_i/system_ila_0/inst/net_slot_1_axis_tlast,CU_Integration_sim_i/system_ila_0/inst/net_slot_2_axis_tdata[127:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_2_axis_tvalid,CU_Integration_sim_i/system_ila_0/inst/net_slot_2_axis_tready,CU_Integration_sim_i/system_ila_0/inst/net_slot_2_axis_tlast,CU_Integration_sim_i/system_ila_0/inst/net_slot_3_axis_tdata[127:0],CU_Integration_sim_i/system_ila_0/inst/net_slot_3_axis_tvalid,CU_Integration_sim_i/system_ila_0/inst/net_slot_3_axis_tready,CU_Integration_sim_i/system_ila_0/inst/net_slot_3_axis_tlast,Interface_(i1:s0)_(cplane_depacketizer_0_beam_data)[2:0],Interface_(i1:s1)_(cplane_depacketizer_0_beam_info_V)[2:0],Interface_(i1:s2)_(cplane_depacketizer_0_beam_data_uplink)[2:0],Interface_(i1:s3)_(cplane_depacketizer_0_beam_info_uplink_V)[2:0],T_Channel_(i1:s0)_(cplane_depacketizer_0_beam_data)[2:0],T_Channel_(i1:s1)_(cplane_depacketizer_0_beam_info_V)[2:0],T_Channel_(i1:s2)_(cplane_depacketizer_0_beam_data_uplink)[2:0],T_Channel_(i1:s3)_(cplane_depacketizer_0_beam_info_uplink_V)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
1,1,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
2,2,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
3,3,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
4,4,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
5,5,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
6,6,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
7,7,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
8,8,0,1,00,792943936,36660872430,198235984,0,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,00000000000000000000000000000000,0,1,0,8fff000000df32c20400000000000000,0,1,0,"_","_","Inactive","Inactive","_","_","No Streams","No Streams"
