Sample in Buffer,Sample in Window,TRIGGER,CU_Integration_sim_i/system_ila_4/inst/probe0_1[15:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tkeep[7:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tlast,Interface_(i5:s0)_(newset2_configs_0_data_out)[2:0],Interface_(i5:s1)_(BBU_config_manager_0_ORAN_index_V_V)[2:0],Interface_(i5:s2)_(BBU_config_manager_0_ORAN_V_V)[2:0],Interface_(i5:s3)_(config_manager_oran_0_beam_data_V_V)[2:0],Interface_(i5:s4)_(S_AXIS1_2)[2:0],Interface_(i5:s5)_(config_manager_oran_0_C_PLANE_V_V)[2:0],T_Channel_(i5:s0)_(newset2_configs_0_data_out)[2:0],T_Channel_(i5:s1)_(BBU_config_manager_0_ORAN_index_V_V)[2:0],T_Channel_(i5:s2)_(BBU_config_manager_0_ORAN_V_V)[2:0],T_Channel_(i5:s3)_(config_manager_oran_0_beam_data_V_V)[2:0],T_Channel_(i5:s4)_(S_AXIS1_2)[2:0],T_Channel_(i5:s5)_(config_manager_oran_0_C_PLANE_V_V)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,43924,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
1,1,0,43925,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
2,2,0,43926,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
3,3,0,43927,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
4,4,0,43928,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
5,5,0,43929,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
6,6,0,43930,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
7,7,0,43931,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
8,8,0,43932,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
9,9,0,43933,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
10,10,0,43934,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
11,11,0,43935,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
12,12,0,43936,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
13,13,0,43937,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
14,14,0,43938,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
15,15,0,43939,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
16,16,0,43940,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
17,17,0,43941,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
18,18,0,43942,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
19,19,0,43943,604003ffffffffff,ff,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0,0,"_","_","_","_","_","_","_","_","_","_","_","_"
